stop_id;stop_code;stop_name;stop_lat;stop_lon;zone_id;alias;stop_area;stop_desc;lest_x;lest_y;zone_name;authority
122420;7820139-1;Lõunakeskus;58.35881504;26.67327622;122420;;Tartu linn;;6471816.65;656444.34;TartuLinn;Tartu LV
161498;7820392-1;Varsa;58.34987601;26.76803853;161498;;Tartu linn;"Kasteheina suunas";6471046.82;662027.96;;Tartu LV
125530;7820139-2;Lõunakeskus;58.35889909;26.67292438;125530;;Tartu linn;"Lõpp-peatus";6471825.19;656423.39;TartuLinn;Tartu LV
123046;7820208-1;Raudteejaam;58.37397452;26.70682144;123046;;Tartu linn;"Tähtvere suunas";6473582.44;658338.28;TartuLinn;Tartu LV
26673;7820163-1;Nooruse;58.36643193;26.69527154;26673;;Tartu linn;;6472715.83;657696.77;TartuLinn;Tartu LV
161497;7820391-1;Lehe;58.38671045;26.75840044;161497;;Tartu linn;"linna sisenev";6475122.66;661295.45;;Tartu LV
24876;7820088-1;Kesklinn II;58.37724016;26.72790185;24876;;Tartu linn;"Kvartali ees";6473995.82;659555.94;TartuLinn;Tartu LV
161496;7820390-1;Lehe;58.38667493;26.75855209;161496;;Tartu linn;"linnast väljuv";6475119.07;661304.47;;Tartu LV
161499;7820393-1;Varsa;58.35080925;26.76758607;161499;;Tartu linn;"linna sisenev";6471149.58;661997.20;;Tartu LV
26227;7820140-1;Maarjamõisa;58.36960163;26.7017286;26227;;Tartu linn;"Kesklinna suunas";6473083.78;658060.14;Tartu;Tartu LV
26126;7820295-1;Vaksali;58.37684819;26.70266721;26126;;Tartu linn;"Näituse tn. suunas";6473892.45;658082.52;TartuLinn;Tartu LV
123017;7820184-1;Visa hall;58.37854671;26.68370536;123017;;Tartu linn;"Ilmatsalu tn. suunas";6474036.94;656966.44;TartuLinn;Tartu LV
26855;7820013-1;Annelinna gümnaasium;58.37551082;26.76968164;26855;;Tartu linn;"Kalda tee suunas";6473903.51;662006.22;TartuLinn;Tartu LV
161500;"";Ropka tööstuspark I;58.35254238;26.74462691;161500;;Tartu linn;"linnast väljuv";6471287.23;660646.17;;Tartu LV
161501;"";Ropka tööstuspark I;58.352068;26.74481475;161501;;Tartu linn;"linna sisenev";6471234.89;660659.32;;Tartu LV
161502;"";Ropka tööstuspark II;58.34852728;26.74484888;161502;;Tartu linn;"linna sisenev";6470840.94;660677.45;;Tartu LV
161503;"";Ropka tööstuspark II;58.34753697;26.74469592;161503;;Tartu linn;"linnast väljuv";6470730.37;660673.01;;Tartu LV
147922;7820371-1;AHHAA;58.37697129;26.7335596;147922;;Tartu linn;;6473979.37;659887.90;;Tartu LV
26395;7820217-1;Riia ring;58.3585654;26.6841488;26395;;Tartu linn;"linnast väljuv";6471814.28;657081.39;TartuLinn;Tartu LV
25601;7820276-1;Teaduspark;58.35502104;26.67914047;25601;;Tartu linn;"linnast väljuv";6471408.11;656804.21;TartuLinn;Tartu LV
